"ID","Position Title","Campus : Location","Position Type","Employment Type","# of Openings","Posting Date","Closing Date","Who May Apply","Department/Unit","Benefits Eligible","FLSA Status","Job URL (Linked)","Special Instructions for Candidates (Text Only)","Job Summary and Essential Functions (Text Only)"
"2018-3587","Catering Staff/Banquet Server","US-MN-Minneapolis & St. Paul","Student","Student","8","5/17/2019","","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Dining Services - Auxiliary Services","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/3587/job","","Job Title:ÿÿCatering Staff/Banquet Server Shifts:ÿÿÿÿBetween 4-9 hours long Locations:ÿÿ St. Paul & Minneapolis Campusÿ ÿ ÿJOB SUMMARYÿ ÿ This position is for catering delivery and banquet serving with flexible hours that you choose based on workload and availability.ÿ You will work in a fun, fast paced environment focused around food and customers with a wide range of different types of events such as picnics, tailgate parties, served meals, receptions to name a few. ÿ ESSENTIAL FUNCTIONSÿ - Event set- up - Customer Service - Event clean- upÿ - Delivery set- upÿ - Deliveriesÿ"
"2019-4094","Clinical Faculty, English - Dougherty Family College","US-MN-Minneapolis","Faculty","Clinical Faculty","1","5/15/2019","Application Deadline: June 14, 2019.","This position is open to all qualified applicants.","Dougherty Family College","Yes","Exempt/Salaried","https://facultyemployment-stthomas.icims.com/jobs/4094/job","TO APPLY Application Deadline: June 14, 2019. Applications should be submitted online at https://jobs.stthomas.edu and include the following: cover letter; CV that includes at least three references who can specifically address the candidate?s teaching experience; a one-page statement that presents the candidate?s philosophy of developing and leading initiatives to support a culturally responsive curriculum (discuss culturally responsive pedagogy in statement); and evidence of teaching excellence with underserved students.","THE UNIVERSITY ÿ Founded in 1885, the University of St. Thomas is a private, Catholic, liberal arts university based in the Twin Cities of St. Paul and Minneapolis, Minnesota. St. Thomas is one of the largest and oldest Catholic colleges or universities in the United States and is the largest private college or university in Minnesota. The University emphasizes values-centered, career-oriented education, and offers bachelor's degrees in more than 90 major and 60 minor fields of study.ÿ Additionally, the university offers more than 60 graduate degree programs in seven academic schools and colleges. Its graduate programs lead to masters, education specialist, juris doctorate and doctoral degrees. ÿ St. Thomas has evolved from humble beginnings as a men's seminary and college into a comprehensive coeducational university. The University seeks to be a recognized leader in Catholic higher education that excels in effective teaching, active learning, scholarly research and responsible engagement with the local community, as well as with the national and global communities. Even with its growth, St. Thomas continues to focus on the needs of individual students and fulfill its mission to educate them ""to be morally responsible leaders who think critically, act wisely, and work skillfully to advance the common good."" ÿ As a community, the University of St. Thomas is committed to: - Pursuit of truth - We value intellectual inquiry as a life-long habit, the unfettered and impartial pursuit of truth in all its forms, the integration of knowledge across disciplines, and the imaginative and creative exploration of new ideas. - Academic excellence - We create a culture among faculty, students and staff that recognizes the power of ideas and rewards rigorous thinking. - Faith and reason - We actively engage Catholic intellectual tradition, which values the fundamental compatibility of faith and reason and fosters meaningful dialogue directed toward the flourishing of human culture. - Dignity - We respect the dignity of each person and value the unique contributions that each brings to the greater mosaic of the university community. - Diversity - We strive to create a vibrant diverse community in which, together, we work for a more just and inclusive society. - Personal attention - We foster a caring culture that supports the well-being of each member. - Gratitude - We celebrate the achievements of all members of our community in goals attained and obstacles overcome, and in all things give praise to God. ÿ THE OPPORTUNITY The University of St. Thomas invites applications for a full-time, 10-month Clinical Faculty position in English for the university?s two-year college, the Dougherty Family College. This is a non-tenure-track, renewable position. ÿ Faculty will teach 100-level and 200-level courses that integrate the teaching of writing and literature (e.g., Critical Thinking: Literature and Writing and Texts in Conversation, Writing Intensive) and serve as academic advisor and mentor to a cohort of students. We seek colleagues with a record of success in teaching English courses, expertise in culturally responsive pedagogy, and a commitment to diversity, equity, and inclusion. Faculty are expected to teach 3 courses per semester and provide intensive mentoring and advising (starting August 1, 2019). ÿ This is a full-time 10-month non-tenure track, renewable positon."
"2019-4151","Clubs and Organizations Leadership and Involvement","US-MN-St. Paul","Student","Student","1","6/10/2019","Open Until Closed","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Campus Life - Student Affairs","No","Student - Misc. Pay","https://studentemployment-stthomas.icims.com/jobs/4151/job","","Job Title:ÿClubs and Organizations Leadership and Development Pay Rate:ÿ$15/hour Shifts:ÿ100 hours, 20 hours/week during J-term Locations:ÿSt. Paul Campus ESSENTIAL FUNCTIONS - Work directly with over 140 student clubs and organizations to support their daily operations that include room diagrams, catering, budgeting, and general event planning. - Plan and coordinate club logistics trainings in collaboration with University departments each fall and spring. - Coordinate and implement the Fall and Spring Activities Fairs. - Co-advise the Student Organization Committee (SOC) in reviewing and approving new student club/organization requests. - Provide support for the SOC Chair in planning two Club Presidents Dinners per semester. - Assist with planning and collaborate with university departments to implement club training sessions at the Fall Leadership Institute. - Assist with promotion of Tommie Advantage Curriculum including developing and implementing lesson plans and assessment. - Assist in various departmental, divisional and university wide initiatives."
"2019-4122","Community Service Officer","US-MN-Minneapolis & St. Paul","Student","Student","6","5/29/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Public Safety - Auxiliary Services","No","Student - Hourly","","","Job Title:ÿÿCommunity Service Officer Pay Rate:ÿÿ$12.50 per hourÿ Locations:ÿÿMinneapolis & St. Paul campus ÿ JOB SUMMARYÿ ÿ Are you a student who aspires to a career in law enforcement, or other uniform public service?ÿ Or are a you a student leader who would like to serve the University of St. Thomas community?ÿ Do you have good customer service & communication skills?ÿ Then we encourage youÿto apply for a Community Service Officer position. ÿ Students with backgroundsÿas uniformÿsecurity, police reserves/explorers, life guards, first responders, EMT's, and other similar positions,ÿare encouraged to apply.ÿÿ ÿ This position is subject to a criminal background check. ÿ ÿ ESSENTIAL FUNCTIONSÿ - Serve as uniform staff for the Public Safety department - Supplement patrol functions by responding to service requests - Provide staffing as uniform presence at campus events - Provide support for administrative tasks"
"2019-4130","Coordinator II, Academic Counseling & Disability Resources","US-MN-St. Paul","Staff","Full-Time Staff","1","6/10/2019","Open until Filled","This position is open to all qualified applicants.","Academic Counseling - Academic Affairs","Yes","Non-Exempt/Hourly","","","The University of St. Thomas invites qualified candidates to apply for a Coordinator II opportunity within the Academic Counseling and Disability Resources departments. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The Coordinator II plays an important role in managing office operations and providing administrative support to the Academic Counseling and Disability Resources departments, which includes the Director of Academic Support and Compliance, Associate Director of Academic Counseling, Director of Disability Resources, two Disability Specialists, Accommodations & Assistive Technology Specialist, and 8-9 Academic Counselors. This role also provides occasional administrative support to the Center for Student Achievement. ÿ ESSENTIAL FUNCTIONS - Act as the initial department contact for individuals internal and external to St. Thomas, which could include answering phones, greeting students, responding to questions, scheduling appointments using MS Outlook and Salesforce in a timely and courteous manner - Closely collaborate with the Disability Resources Accommodations and Assistive Technology Specialist to distribute exams and execute various tasks for students who qualify for the accommodation of extended exam time through Disability Resources. - General office functions, including but not limited to:ÿ - Department communication: Individual outreach to students and community members (using Lyris, mail merges, etc.); general marketing and publicity for department. - Logistics related to event planning: Room reservations, catering orders, registration coordination, etc. - Maintain department statistics, produce statistics for annual reports.ÿÿÿÿÿ - Schedule and coordinate department meetings and events to include sending invitations, reserving rooms, ordering necessary office items.ÿ - Assist Directors with tasks related to budget planning and management.ÿ - Maintain and purchase necessary office supplies. - Edit and create content for department website and Twitter account - Supervise 4-5 work-study students: Hiring, training, scheduling and evaluating their work."
"2019-4141","Copywriter, Marketing, Insights and Communications","US-MN-St. Paul","Staff","Full-Time Staff","1","6/6/2019","Open until Filled","This position is open to all qualified applicants.","Marketing, Insights and Communications","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a Copywriter opportunity within the Marketing, Insights and Communications department. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY We?re looking for a creative and conceptual copywriter who lives and breathes advertising. You must be a whiz with words who can quickly take a boring copy block and turn it into smart, clever, engaging copy. And, it starts with your cover letter since we will consider that to be your first writing sample. Tell us who you are and why you want to work with us. Be clever and memorable ? make sure that it stands out from the crowd. As a copywriter, you?ll be responsible for developing concepts, ideas and copy that will get noticed while staying true to the St. Thomas brand voice. As a copywriter working inside of MIC (Marketing, Insights, and Communications) at the university, you?ll be responsible for creating breakthrough creative that sets us apart from the competition. You will work hand in hand with an Art Director and receive assignments from an embedded marketer whose job it is to translate our campus partner?s communication goals into a compelling creative brief. You will be part of the creative team responsible for delivering remarkable communications that get St. Thomas noticed by our key audiences (prospective students and their families, other influencers, alumni, donors, etc)ÿ ÿ ESSENTIAL FUNCTIONS - Attend kick off meetings for creative briefs.ÿ Ask questions to be sure the strategy is well articulated.ÿ Ensure there is consumer insight from which to write compelling copy. - Develop fresh, innovative, compelling concepts in collaboration with an art director on-time in a fast-paced, highly creative environment - Write copy for various channels and touchpoints, including: digital, video, TV, print, radio, long-format and collateral. - Write content for the website during the redesign process. Knowledge of SEO is a big plus. - Develop a base level of knowledge across all areas of the University, including undergraduate admissions, Opus College of Business, College of Arts and Sciences, School of Engineering, School of Education, and the School of Social Work."
"2019-4120","Course Builder","US-MN-Minneapolis","Student","Student","2","5/29/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Information Technology Services - ITS","No","Student - Hourly","","","Job Title: Course Builder Pay Rate: $15 per/hour Location:ÿMinneapolis ÿ JOB SUMMARY ÿ The course builders will report to the STELAR Minneapolis Director, and will work collaboratively with our Instructional Designers, to build courses in our Learning Management System (LMS), Canvas. The course builder ensures consistency of course presentation by following course development guidelines and providing consistent content entry. The Course Builder will also be responsible for building quizzes, adding branding to our course assets, and creating course-related assets. As technology is a dynamic field, facility with learning and using web-based applications is expected in this role. ÿ ÿ ESSENTIAL FUNCTIONS - Build new courses in our LMS using content provided by Instructional Designers - Review and reformat course content before course materials and content is added to LMS - Update revised and rewritten content for existing courses in the LMS - File and organize reviewed course content and other curriculum related materials - Update content for existing courses in the LMS - Provide maintenance for existing courses as needed - Monitor ticketing system for maintenance issues - Build quizzes in current quizzing software using provided content - Provide quality control by completing checklists related to the build phase - Contribute to the overall quality assurance process - Assist with special curriculum projects identified by STELAR directors and Instructional Design teams - Must be discreet, particularly dealing with course content - Help STELAR staff in creating accessible content - Experience in editing/website building using an online content system - Additional duties as assigned"
"2018-3728","Dean, College of Health","US-MN-St. Paul","Staff","Fufll-Time Staff","1","9/26/2018","Open until Filled","This position is open to all qualified applicants.","College of Health","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a Dean opportunity within the new College of Health. The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The University of St. Thomas, Minnesota?s largest private university, seeks a forward-looking, entrepreneurial, and collaborative founding Dean to help create and lead an exciting and innovative new College of Health. This is a distinctive opportunity to build a college from the ground up and help train a new generation of highly skilled, culturally sensitive health care professionals who will help improve health care and health education in the Twin Cities region and beyond. The Dean, working with various stakeholders and constituents, will define and execute a broad vision for the College of Health that integrates healthcare teams, addressing health and wellness of the whole person, by bringing together St. Thomas? existing School of Social Work and the Graduate School of Professional Psychology with the new School of Nursing. The Dean will be a builder and a thought leader at the vanguard of health care integration. ÿ The founding Dean of the College of Health will provide strategic, academic, and administrative leadership for the undergraduate and graduate programs within the newly formed College and guide the development of a unifying vision for the future. The Dean will foster an interdisciplinary, collaborative environment by building on faculty strengths in the two existing units ? the School of Social Work and the Graduate School of Professional Psychology ? while identifying opportunities for growth and partnership through a new School of Nursing and strategically plan further needs in other health care disciplines to address community needs. The Dean will build interdisciplinary opportunities across the university, as well as develop partnerships with the broader community in the Twin Cities region and beyond. St. Thomas seeks a leader with proven strategic leadership skills, an appreciation of the Catholic intellectual tradition, a strong commitment to shared governance, and the ability to build meaningful collaborations as the institution continually strives for excellence in teaching, scholarship, and service. ÿ ESSENTIAL FUNCTIONS - Construct a unifying vision for the new College of Health - Build partnerships across the university and beyond to address the health and wellness needs of the Twin Cities and the greater Minnesota region - Conceptualize and implement academic programs to serve community needs - Develop a student experience that creates innovative health and wellness leaders - Set the tone and establish the internal culture of the College of Health - Acquire and manage resources"
"2019-4072","Director of Enrollment, School of Education","US-MN-Minneapolis","Staff","Full-Time Staff","1","5/3/2019","5/13/2019","This position is open to all qualified applicants.","School of Education - CELC","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a Director of Enrollment opportunity within the School of Education. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY This position possesses broad decision-making authority with regard to the development of strategic recruitment and enrollment efforts for all School of Education programs.ÿ This position builds and leads the strategy for overall recruiting activities; provides direction with respect to timely recruiting and enrollment efforts; works with departments to support recruitment and enrollment needs; and oversees the work of the Recruitment and Enrollment team to continually assess progress toward goals and to refine efforts. ÿ ESSENTIAL FUNCTIONS - Responsible for establishing and monitoring end-to-end systems for Recruitment and Enrollment - Advises and assists other college personnel in identifying key metrics of academic success and assists as possible in obtaining appropriate outcomes measures - Maintains currency in the field and uses that knowledge to proactively advise the dean and academic chairs regarding recruitment efforts - Analyzes and reports on a weekly basis information regarding impact and effectiveness of all recruiting efforts (e.g. admissions funnel data) - Prepares and manages the recruitment budget - Works in conjugation with the Senior Marketing Manager to ensure branding aligns with University of St. Thomas and is presented consistently by all staff members tasked with representing the college externally - Given the breadth of our program offerings, this role will function in both a hands-on, problem-solving mode, assuring that deadlines are met, as well as in a strategic, big picture rolle - This role will lead establishment of Internal and External Partnerships: - Works collaboratively with the Office of Graduate Enrollment and, as appropriate, additional informational venues to gather information about marketplace - Acts as the college?s representative to all university-wide enrollment committees and task forces Acquire and maintain knowledge regarding external recruiting venues and their respective reaches - Responsible for supervising the enrollment manager, whose responsibilities include: lead nurturing strategy and enrollment and admission processes; assist in implementing and evaluating marketing strategies, student recruitment, inquiry handling, and other processes resulting in a strategic, coordinated, and effective enrollment system. - Responsible for supervising the Recruitment and Enrollment team"
"2019-4092","ENGR 171 Peer Mentor (with Dr. Thomas)","US-MN-St. Paul","Student","Student","1","5/14/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","School of Engineering","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4092/job","","Job Title:ÿENGR 171 Peer Mentor (with Dr. Thomas) Shifts: Tuesday/Thursday 1:30-3:10 pm Location: St. Paul Campusÿ ÿ JOB SUMMARY Peer Mentors serve as a knowledgeable guide and resource to students enrolled in ENGR 171 (Engineering Graphics and Design). Peer Mentors attend class and hold their own office hours to help with project work, lectures, and homework grading."
"2019-4039","Equipment Room Assistant","US-MN-St. Paul","Student","Student","1","4/15/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Athletics","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4039/job","","Job Title:ÿEquipment Room Assistant Locations:ÿSt Paul Campus SUMMARY Looking for students that know and understand athletics. Hard workers who are flexible in what they do and they get the jobs completed in a timely matter."
"2019-4015","Facilities Services Student Worker - Summer","US-MN-St. Paul","Student","Student","8","4/2/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Facilities Management ? Business Affairs","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4015/job","","Job Title: Facilities Services Student Workers - Summer Pay Rate: $10/hr Shifts: Summer Locations: St. Paul ÿ JOB SUMMARY - Campus Cleaning - Event Set-Up - Trash Removal - Other Miscellaneous Projects Students can work up to 40 hours a week. ÿ ÿ"
"2019-4106","Financial Aid Student Assistant","US-MN-St. Paul","Student","Student","1","6/3/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Financial Aid","No","Student - Hourly","","","Job Title:ÿFinancial Aid Student Assistant Shifts:ÿ10-20 hours/week Locations:ÿSt. Paul Campus ÿ **APPLICANTS FOR THIS POSITION MUST QUALIFY FOR FEDERAL OR STATE WORK STUDY** ÿ JOB SUMMARY The Financial Aid Student Assistant will perform general office duties with the primary focus of supporting the operations of the Financial Aid Office staff.ÿ This person must provide exceptional customer service at the front desk to both prospective students and parents along with assisting current students needs.ÿ All employees must also maintain confidentiality with information received and provided by the office.This is a position for the 2019-2020 academic year with the position start the summer of 2019.ÿThis is a part-time position (10-20 hours per week).ÿ ESSENTIAL FUNCTIONS - Answering phones - Making appointments for students with Financial Aid Counselors - Preparing mailings - Document scanning into digital file-system - General data entry"
"2018-3776","Founding Director, School of Nursing","US-MN-St. Paul","Staff","Full-Time Staff","1","10/22/2018","Open until Filled","This position is open to all qualified applicants.","School of Nursing","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a founding Director opportunity for the School of Nursing. The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility A generous Employer retirement contribution of 9.4% of annual salary upon eligibility Medical, dental, and vision options Employer-paid disability, life, and AD&D benefits JOB SUMMARY The University of St. Thomas, Minnesota?s largest private university, seeks a creative and innovative founding Director of the School of Nursing. This is tremendous opportunity to build a new School, focused on nursing excellence, integrative healthcare, community partnerships, and the Catholic commitment to service as a key pillar of St. Thomas? newly created College of Health. Working closely with the founding Dean of the College of Health, the Director of Nursing will build a talented and diverse faculty and create a set of nursing programs dedicated to addressing health and wellness of the whole person. Further strengthening St. Thomas? strong relationships with local, regional, and Catholic healthcare providers, the Director of Nursing will leverage the University?s influence and strong reputation to create a collaborative and innovative model for nursing and healthcare. ÿ The founding Director of the School of Nursing will imagine, build, and lead a School that will help meet the strong regional and national demand for nurses while expanding the academic and programmatic offerings at St. Thomas. The School of Nursing joins two existing units within the new College of Health - the School of Social Work and the Graduate School of Professional Psychology - and the Director of Nursing will identify key opportunities for collaboration, forging meaningful partnerships across campus, throughout the Twin Cities region, and more broadly. The Director of Nursing will shepherd the School through accreditation and create a supportive culture of mentorship, academic excellence, and a strong dedication to service. ÿ ESSENTIAL FUNCTIONS - Develop programs that address the need for more nursing professionals in the Twin Cities and beyond, and serve students interested in careers in health care delivery - Recruit, retain, and support a talented faculty and staff - As the inaugural leader of the School, the Director will set the tone and culture of the unit by bringing together a team that represents a broad array of disciplines and specialties, clinical, teaching, and research backgrounds, and professional experience - Initiate and shepherd the School through accreditation and once met, ensure accreditation requirements are maintained - Coordinate interdisciplinary teaching efforts and dynamic student experiences outside of the classroom, including innovative internships and clinical placements - Inculcate a culture of mentorship and create structures to support and ensure the success of students from diverse backgrounds - Create partnerships across campus, in the region, and around the country to enhance nursing education and the student experience"
"2019-4143","Full-Time Building Service Worker","US-MN-Minneapolis & St. Paul","Staff","Full-Time Staff","1","6/10/2019","Open Until Filled","This position is open to all qualified applicants.","Facilities Management ? Business Affairs","Yes","Non-Exempt/Hourly","","Applicants will be asked to upload a resume to their profile and copy/paste a cover letter into the application.","The University of St. Thomas Facilities Management Department is accepting applications for a Building Service Worker.ÿ ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ Duties include cleaning assigned buildings including offices, athletic facilities, classrooms and public restrooms in accordance with university safety and quality standards; setting up rooms for events; snow removal and occasional heavy lifting of supplies, equipment, and furniture. ÿ The pay for this position is $17.92/hour.ÿ ÿ This position will begin as a third shift (11:30 PM - 8:00 AM) with the possibility of weekends required.ÿ ÿ This is a full-time, benefits eligible position covered by a collective bargaining agreement. The University of St. Thomas offers a competitive and comprehensive benefits program, which includes medical, dental, vision, life, long-term care, legal, and disability insurance coverages. Offerings also include retirement plans, flexible spending accounts, a health savings account, and an employee assistance program. The University provides tuition remission to its employees, spouses, and dependents. In addition, the University values a healthy work/life balance and has generous provisions for paid time off."
"2019-4142","Graduate Assistant, Retention and Student Success","US-MN-St. Paul","Student","Student","1","6/6/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Center for Student Achievement","No","Student - Hourly","","","Job Title:ÿGraduate Assistant, Retention and Student Success Shifts: At least 20 hours/weekly Location:ÿSt. Paulÿ ÿ JOB SUMMARY The Graduate Assistant (GA) for Retention and Student Success will serve as a leader providing efforts to support and lead trainings for targeted student populations. The GA will work a minimum of 20 hours per week under the supervision of the Director of Retention and Student Success. ÿ ESSENTIAL FUNCTIONS Training and consultation: - Will host trainings/consultations on teaching/working with diverse learners/populations - Assist in the monitoring of the DFC Transitioning Scholars academic and social success at St. Thomas including monitoring grades and making necessary resource referrals to support holistic student success. Additionally, the GA will be expected to: - Assist with CSA additional programming targeted at diverse/historically underrepresented populations as needed - Provide support for the SDIS Program Director (Retention Efforts) with programs and services - Meet regularly with supervisor - Conduct research and assessment, as needed - Serve on committees as it relates to diversity and inclusion implementation, research and support across the university - Collect and analyze data related to transitioning DFC students as well as other diverse/historically underrepresented populations - Other responsibilities and duties as assigned"
"2019-4052","Graduate Intern","US-MN-St. Paul","Student","Student","1","4/24/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Information Technology Services - ITS","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4052/job","The minimum number of hours required for this position is 5 per week [Monday ? Friday] and it is required that you be in our office on the St. Paul campus during work time. This position goes through May 1,2019 with an evaluation conducted to extend throughout the summer.","Job Title: Graduate Intern Shifts:ÿThe minimum number of hours required for this position is 5 per week [Monday ? Friday] Location: St. Paul Campusÿ ÿ JOB SUMMARY ÿ The student intern will be a part of the Institutional Data, Analytics and Reporting (IDAR) team. The intern will work closely with the Senior Report Writer and Dashboard Analyst to support data-intensive projects across data mining, analytics and dashboard visualization. Using tools like Cognos BI Suite, Tableau, Python and R, the intern will be provided opportunities to apply their GPS program learning to various projects within the IDAR team. ÿ ÿ"
"2019-3971","Grounds Student Worker - Spring & Summer","US-MN-St. Paul","Student","Student","5","4/9/2018","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Facilities Management ? Business Affairs","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/3971/job","","Job Title: Grounds Student Worker Shifts: Spring & Summer Location: Saint Paul ÿ Facilities Management is looking to hire a student worker who is willing to start on April 1st, and can continue working through summer. ÿ JOB SUMMARY ÿ Student Workers will assist in maintaining all grounds on the University of St.ÿThomas - Saint Paul campus."
"2019-4128","Grounds Turf Technician","US-MN-Minneapolis & St. Paul","Staff","Full-Time Staff","1","5/31/2019","Open until Filled","This position is open to all qualified applicants.","Facilities Management ? Business Affairs","Yes","Non-Exempt/Hourly","","","The University of St. Thomas invites qualified candidates to apply for a Grounds Turf Technician opportunity within the Facilities Management team. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOB SUMMARY Under direction of the Grounds Maintenance Supervisor, maintain and improve all athletic fields and campus grounds to the level of attention determined by the University of St Thomas management and per NCAA rules.ÿ Interact routinely with coaches, administrators and event staff.ÿ Work with student grounds employees to complete projects. ÿ This position is required to respond 24/7 to grounds related emergencies and weather related events. ÿ Some weekends, evenings and holidays may be required. ÿ This position requires exceptional teamwork with other Facilites Management and Athletic Department staff. ÿ ESSENTIAL FUNCTIONS - Perform a variety of natural and synthetic turf maintenance duties including mowing, blowing, fertilization, aeration, grooming, seeding, topdressing, chemical applications, edging, painting, chalking, infield skin maintenanceÿand irrigation - Prepare athletic fieldsÿfor practices, games and special eventsÿ - Assist in the management and operation of the irrigation systemÿ - Daily litter control of lawns, planting beds, parking lots, drive lanes and sidewalkÿÿ - Perform bed maintenance including weeding, mulching, pruning and herbicide applicationÿ - Provide support for special eventsÿ - Campus wide snow and ice removalÿ - Perform general equipment maintenance and repairsÿ - Perform other duties, as assignedÿ Opportunities to participate in continuing education such as seminars, workshops, correspondence courses and trade shows"
